subject_id,scenario_label,intimacy,motivation,action,p_action
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,0,0.68
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,1,0.32
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,0,0.03
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,1,0.97
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,0,0.74
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,1,0.14
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,2,0.09
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,3,0.03
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,0,0.62
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,1,0.18
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,2,0.04
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,3,0.16
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,0,0.85
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,1,0.15
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,0,0.18
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,1,0.82
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,0,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,1,1.0
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,0,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,1,0.94
