fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
3,brunch,base,2197.032470703125,155.24476623535156,0.31841050300045287,0.33748862225076426,6900,460,1.0,0.8235073089599609,,0.5156705975532532,,0.5495339313583415
4,cooking,full,2045.119140625,125.70303344726562,0.29639407835144926,0.2732674640157948,6900,460,1.0,0.8148027658462524,1.3286460638046265,0.057720933109521866,0.8770062923431396,0.8617041447066276
4,cooking,discomfort_only,2168.6181640625,141.47926330566406,0.3142924875452899,0.3075636158818784,6900,460,1.0,,1.295424222946167,,0.7192004919052124,0.5665226079831227
4,cooking,base,2210.719482421875,141.42239379882812,0.32039412788722826,0.3074399865191916,6900,460,1.0,0.8015464544296265,,0.49078407883644104,,0.6437540566000017
5,dip,full,2046.68212890625,124.15095520019531,0.29662059839221017,0.2698933808699898,6900,460,1.0,0.8113809823989868,1.3366508483886719,0.046234384179115295,0.888404369354248,0.9053179726551046
5,dip,discomfort_only,2168.15478515625,141.58412170410156,0.3142253311820652,0.3077915689219599,6900,460,1.0,,1.360927700996399,,0.8252038359642029,0.5754262120616586
5,dip,base,2213.626953125,138.5551300048828,0.3208155004528985,0.3012068043584409,6900,460,1.0,0.7962690591812134,,0.4821622669696808,,0.7248087659032811
6,drinks,full,2036.06005859375,134.6667938232422,0.2950811679121377,0.2927538996157439,6900,460,1.0,0.840427577495575,1.3438270092010498,0.0028735059313476086,0.8232240676879883,0.8575117053917887
6,drinks,discomfort_only,2163.38720703125,146.85194396972656,0.31353437783061594,0.31924335645592733,6900,460,1.0,,1.3041911125183105,,0.7006633877754211,0.5559362373995015
6,drinks,base,2211.41845703125,140.65426635742188,0.32049542855525365,0.30577014425526494,6900,460,1.0,0.8269683122634888,,0.45162707567214966,,0.8145526000870988
7,driving,full,2025.454345703125,145.61558532714844,0.29354410807291664,0.31655562027640965,6900,460,1.0,0.883952260017395,1.3060206174850464,0.05956596881151199,0.8581492900848389,0.6987012457688626
7,driving,discomfort_only,2169.27734375,140.8702850341797,0.31438802083333334,0.30623975007430365,6900,460,1.0,,1.2863391637802124,,0.7168909907341003,0.8095464581819142
7,driving,base,2188.134521484375,164.21002197265625,0.31712094514266304,0.3569783086362092,6900,460,1.0,0.8665510416030884,,0.494529664516449,,0.23531707265359791
8,fair,full,2018.1077880859375,154.02081298828125,0.2924793895776721,0.33482785432235057,6900,460,1.0,0.8786388039588928,1.3041082620620728,0.11524345725774765,0.8720333576202393,0.43852979792000957
8,fair,discomfort_only,2164.99365234375,145.17141723632812,0.3137671959918478,0.31559003747027853,6900,460,1.0,,1.297920823097229,,0.7089560627937317,0.616485033535427
8,fair,base,2176.962158203125,176.3502197265625,0.3155017620584239,0.38337004288383153,6900,460,1.0,0.8639323711395264,,0.5453946590423584,,-0.06515878351603349
9,gala,full,2045.021728515625,126.1180191040039,0.2963799606544384,0.2741696067478346,6900,460,1.0,0.8052252531051636,1.3651114702224731,9.999999974752427e-07,0.8322005867958069,0.8278529898427416
9,gala,discomfort_only,2162.52978515625,147.7278289794922,0.3134101137907609,0.3211474543032439,6900,460,1.0,,1.3097822666168213,,0.6996199488639832,0.4210925042550499
9,gala,base,2224.1748046875,128.33140563964844,0.3223441745923913,0.2789813166079314,6900,460,1.0,0.7897800803184509,,0.44760262966156006,,0.9071977532216151
10,hike,full,2043.1043701171875,127.5453109741211,0.29610208262567933,0.2772724151611328,6900,460,1.0,0.8391135931015015,1.3196706771850586,0.02510717324912548,0.8683727383613586,0.9569534638937294
10,hike,discomfort_only,2171.334228515625,138.78631591796875,0.31468612007472824,0.3017093824303668,6900,460,1.0,,1.2847813367843628,,0.7242416739463806,0.691132406473727
10,hike,base,2209.056640625,142.96531677246094,0.3201531363224638,0.31079416689665423,6900,460,1.0,0.8246850967407227,,0.45988667011260986,,0.7430383463035245
11,oysters,full,2029.295166015625,141.55020141601562,0.2941007486979167,0.30771782916525137,6900,460,1.0,0.8758165836334229,1.3743218183517456,9.999999974752427e-07,0.8965564370155334,0.7847210299005933
11,oysters,discomfort_only,2166.09521484375,143.65902709960938,0.31392684273097826,0.3123022328252378,6900,460,1.0,,1.3867571353912354,,0.8429693579673767,0.6807938758219588
11,oysters,base,2204.943603515625,147.57989501953125,0.31955704398777174,0.3208258587381114,6900,460,1.0,0.8661324977874756,,0.42221906781196594,,0.6818507420693073
12,social,full,2045.9869384765625,124.79674530029297,0.29651984615602356,0.27129727239194124,6900,460,1.0,0.8395009636878967,1.3340777158737183,9.999999974752427e-07,0.8661529421806335,0.8013180936452969
12,social,discomfort_only,2172.56298828125,137.55068969726562,0.31486420120018116,0.2990232384723166,6900,460,1.0,,1.2846351861953735,,0.7262908220291138,0.5693622716904447
12,social,base,2219.09521484375,133.6552734375,0.3216080021512681,0.29055494225543477,6900,460,1.0,0.8321671485900879,,0.4084380269050598,,0.8159671912438266
13,soup,full,2026.7474365234375,144.0184326171875,0.29373151253962865,0.3130835491677989,6900,460,1.0,0.8731891512870789,1.3534518480300903,9.999999974752427e-07,0.8459029793739319,0.777480469800208
13,soup,discomfort_only,2163.4453125,146.7550506591797,0.3135427989130435,0.3190327188243037,6900,460,1.0,,1.3040271997451782,,0.7045102119445801,0.6214680688979788
13,soup,base,2204.993408203125,147.4892120361328,0.3195642620584239,0.32062872181768004,6900,460,1.0,0.8635457158088684,,0.4235673248767853,,0.7157203431401079
