experiment,variant,fold,held_out_scenario,alpha_observer,train_sse,test_sse,train_mse,test_mse,n_train,n_test
food_inv_desire_intimacy_alt,full,14,takeout,1.8286328315734863,196.10169982910156,11.9143815251454,0.10894538879394532,0.099286512709545,1800,120
food_inv_desire_intimacy_alt,full,15,wedding,1.8313560485839844,192.80055236816406,15.23289216201625,0.10711141798231337,0.1269407680168021,1800,120
food_inv_desire_intimacy_alt,discomfort_only,0,apples,0.009999999776482582,343.2958984375,18.959900003208222,0.19071994357638888,0.15799916669340186,1800,120
food_inv_desire_intimacy_alt,discomfort_only,1,basketball,0.009999999776482582,345.91864013671875,16.337200001578037,0.1921770222981771,0.13614333334648362,1800,120
food_inv_desire_intimacy_alt,discomfort_only,2,birthday,0.009999999776482582,346.7168884277344,15.538899870409075,0.19262049357096353,0.12949083225340896,1800,120
food_inv_desire_intimacy_alt,discomfort_only,3,brunch,0.009999999776482582,344.9894714355469,17.266300070610644,0.1916608174641927,0.14388583392175536,1800,120
food_inv_desire_intimacy_alt,discomfort_only,4,cooking,6.600778102874756,342.8956298828125,19.360200001965474,0.19049757215711804,0.16133500001637896,1800,120
food_inv_desire_intimacy_alt,discomfort_only,5,dip,0.009999999776482582,334.877197265625,27.37859985961915,0.18604288736979166,0.22815499883015958,1800,120
food_inv_desire_intimacy_alt,discomfort_only,6,drinks,0.009999999776482582,342.90594482421875,19.349800014314063,0.19050330268012153,0.1612483334526172,1800,120
food_inv_desire_intimacy_alt,discomfort_only,7,driving,10.0,346.2869873046875,15.968799950358273,0.19238165961371528,0.13307333291965226,1800,120
food_inv_desire_intimacy_alt,discomfort_only,8,fair,10.0,339.0097961425781,23.246000115737324,0.18833877563476562,0.19371666763114437,1800,120
food_inv_desire_intimacy_alt,discomfort_only,9,gala,0.009999999776482582,330.473876953125,31.781899910731614,0.18359659830729166,0.2648491659227635,1800,120
food_inv_desire_intimacy_alt,discomfort_only,10,hike,10.0,337.667724609375,24.58809983408601,0.18759318033854167,0.20490083195071673,1800,120
food_inv_desire_intimacy_alt,discomfort_only,11,oysters,0.03201588615775108,335.0963134765625,27.1594999582991,0.18616461859809028,0.22632916631915917,1800,120
food_inv_desire_intimacy_alt,discomfort_only,12,social,10.0,329.64312744140625,32.61270020864457,0.18313507080078126,0.27177250173870476,1800,120
food_inv_desire_intimacy_alt,discomfort_only,13,soup,0.009999999776482582,338.2906494140625,23.965200037653748,0.18793924967447917,0.19971000031378122,1800,120
food_inv_desire_intimacy_alt,discomfort_only,14,takeout,0.009999999776482582,338.8345947265625,23.42120002695472,0.18824144151475694,0.19517666689128932,1800,120
food_inv_desire_intimacy_alt,discomfort_only,15,wedding,0.009999999776482582,336.934326171875,25.32149999959768,0.18718573676215278,0.21101249999664734,1800,120
food_inv_desire_intimacy_alt,base,0,apples,1.8389016389846802,203.70257568359375,10.37852742679738,0.11316809760199653,0.08648772855664483,1800,120
food_inv_desire_intimacy_alt,base,1,basketball,1.8406479358673096,205.79360961914062,8.29862055543471,0.11432978312174479,0.06915517129528924,1800,120
food_inv_desire_intimacy_alt,base,2,birthday,1.843207836151123,204.74127197265625,9.367569644490246,0.11374515109592014,0.07806308037075205,1800,120
food_inv_desire_intimacy_alt,base,3,brunch,1.840952754020691,203.74432373046875,10.349897007918443,0.11319129096137152,0.08624914173265369,1800,120
food_inv_desire_intimacy_alt,base,4,cooking,1.8426215648651123,203.36912536621094,10.735894256546995,0.11298284742567274,0.08946578547122495,1800,120
food_inv_desire_intimacy_alt,base,5,dip,1.8223631381988525,201.5709228515625,12.412169150222065,0.11198384602864583,0.1034347429185172,1800,120
food_inv_desire_intimacy_alt,base,6,drinks,1.838182806968689,202.9024200439453,11.174140206089511,0.11272356669108073,0.09311783505074593,1800,120
food_inv_desire_intimacy_alt,base,7,driving,1.9010668992996216,200.77615356445312,13.791711885058431,0.1115423075358073,0.11493093237548693,1800,120
food_inv_desire_intimacy_alt,base,8,fair,1.8356882333755493,198.78555297851562,15.275457970128134,0.11043641832139757,0.1272954830844011,1800,120
food_inv_desire_intimacy_alt,base,9,gala,1.7655638456344604,197.7321014404297,16.021385228165116,0.10985116746690538,0.13351154356804262,1800,120
food_inv_desire_intimacy_alt,base,10,hike,1.8322525024414062,198.94969177246094,15.090365004620255,0.11052760654025608,0.1257530417051688,1800,120
